2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6ad615fb
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6ad615fb
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration string -> org.hibernate.type.StringType@68fb0680
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.String -> org.hibernate.type.StringType@68fb0680
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@7d2cca66
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@78e07f44
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration url -> org.hibernate.type.UrlType@b879050
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@b879050
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration Duration -> org.hibernate.type.DurationType@4b26c8d5
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4b26c8d5
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration Instant -> org.hibernate.type.InstantType@2fbcba66
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@2fbcba66
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@952a347
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@952a347
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@58428b3c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@58428b3c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@ecf5f6
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@ecf5f6
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4b87175
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4b87175
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@3cc054fa
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@3cc054fa
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@52048974
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@52048974
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration date -> org.hibernate.type.DateType@5e8a202a
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@5e8a202a
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration time -> org.hibernate.type.TimeType@7fed630b
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7fed630b
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration timestamp -> org.hibernate.type.TimestampType@63f997c6
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@63f997c6
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@63f997c6
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@716b2f7
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration calendar -> org.hibernate.type.CalendarType@6f8f6573
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6f8f6573
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6f8f6573
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@77697c02
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration locale -> org.hibernate.type.LocaleType@22370d50
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@22370d50
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration currency -> org.hibernate.type.CurrencyType@30172b07
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@30172b07
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@3a4e156b
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@3a4e156b
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration class -> org.hibernate.type.ClassType@50be414d
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@50be414d
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@21d1e05c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@21d1e05c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@cde5d98
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration binary -> org.hibernate.type.BinaryType@796ae9a8
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration byte[] -> org.hibernate.type.BinaryType@796ae9a8
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration [B -> org.hibernate.type.BinaryType@796ae9a8
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@4063fc17
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@4063fc17
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@4063fc17
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration row_version -> org.hibernate.type.RowVersionType@66924d3a
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration image -> org.hibernate.type.ImageType@6b6c2dd0
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration characters -> org.hibernate.type.CharArrayType@6ce5d388
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration char[] -> org.hibernate.type.CharArrayType@6ce5d388
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration [C -> org.hibernate.type.CharArrayType@6ce5d388
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@15ab245c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@15ab245c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@15ab245c
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration text -> org.hibernate.type.TextType@387a0f9
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration ntext -> org.hibernate.type.NTextType@16d238de
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration blob -> org.hibernate.type.BlobType@3fdb354d
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@3fdb354d
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@1f86440a
2019-05-21 12:11:14 DEBUG BasicTypeRegistry:156 - Adding type registration clob -> org.hibernate.type.ClobType@470de28b
